"Station","Year","Month","Day","Daily.Rainfall.Total..mm.","Highest.30.Min.Rainfall..mm.","Highest.60.Min.Rainfall..mm.","Highest.120.Min.Rainfall..mm.","Mean.Temperature..Â.C.","Maximum.Temperature..Â.C.","Minimum.Temperature..Â.C.","Mean.Wind.Speed..km.h.","Max.Wind.Speed..km.h.","Latitude","Longitude","Date","Season"
"Botanic Garden",2018,4,8,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-08,"Inter-monsoon I"
"Botanic Garden",2018,4,9,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-09,"Inter-monsoon I"
"Botanic Garden",2018,4,10,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-10,"Inter-monsoon I"
"Botanic Garden",2018,4,11,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-11,"Inter-monsoon I"
"Botanic Garden",2018,4,12,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-12,"Inter-monsoon I"
"Botanic Garden",2018,4,13,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-13,"Inter-monsoon I"
"Botanic Garden",2018,4,14,29.6,19.2,25.8,27.8,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-14,"Inter-monsoon I"
"Botanic Garden",2018,4,15,18.2,9.8,15.6,15.8,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-15,"Inter-monsoon I"
"Botanic Garden",2018,4,16,0.8,0.2,0.4,0.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-16,"Inter-monsoon I"
"Botanic Garden",2018,4,17,0.8,0.8,0.8,0.8,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-17,"Inter-monsoon I"
"Botanic Garden",2018,4,18,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-18,"Inter-monsoon I"
"Botanic Garden",2018,4,19,30.8,22.6,22.8,23,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-19,"Inter-monsoon I"
"Botanic Garden",2018,4,20,30.4,12.2,18.4,27.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-20,"Inter-monsoon I"
"Botanic Garden",2018,4,21,0.8,0.6,0.6,0.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-21,"Inter-monsoon I"
"Botanic Garden",2018,4,22,9.6,5.4,7,9.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-22,"Inter-monsoon I"
"Botanic Garden",2018,4,23,42.4,21,35.2,42,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-23,"Inter-monsoon I"
"Botanic Garden",2018,4,24,15.6,12.2,13.2,14,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-24,"Inter-monsoon I"
"Botanic Garden",2018,4,25,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-25,"Inter-monsoon I"
"Botanic Garden",2018,4,26,2.8,2.8,2.8,2.8,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-26,"Inter-monsoon I"
"Botanic Garden",2018,4,27,21.4,15.8,15.8,16,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-27,"Inter-monsoon I"
"Botanic Garden",2018,4,28,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-28,"Inter-monsoon I"
"Botanic Garden",2018,4,29,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-29,"Inter-monsoon I"
"Botanic Garden",2018,4,30,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-30,"Inter-monsoon I"
"Botanic Garden",2018,5,1,16.6,10.6,11.4,13,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-01,"Inter-monsoon I"
"Botanic Garden",2018,5,2,3.6,3.4,3.4,3.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-02,"Inter-monsoon I"
"Botanic Garden",2018,5,3,10.4,6.6,9,10.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-03,"Inter-monsoon I"
"Botanic Garden",2018,5,4,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-04,"Inter-monsoon I"
"Botanic Garden",2018,5,5,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-05,"Inter-monsoon I"
"Botanic Garden",2018,5,6,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-06,"Inter-monsoon I"
"Botanic Garden",2018,5,7,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-07,"Inter-monsoon I"
"Botanic Garden",2018,5,8,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-08,"Inter-monsoon I"
"Botanic Garden",2018,5,9,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-09,"Inter-monsoon I"
"Botanic Garden",2018,5,10,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-10,"Inter-monsoon I"
"Botanic Garden",2018,5,11,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-11,"Inter-monsoon I"
"Botanic Garden",2018,5,12,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-12,"Inter-monsoon I"
"Botanic Garden",2018,5,13,1.6,0.8,1.2,1.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-13,"Inter-monsoon I"
"Botanic Garden",2018,5,14,12,7.8,7.8,8,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-14,"Inter-monsoon I"
"Botanic Garden",2018,5,15,5.8,5,5.2,5.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-15,"Inter-monsoon I"
"Botanic Garden",2018,5,16,0.4,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-16,"Inter-monsoon I"
"Botanic Garden",2018,5,17,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-17,"Inter-monsoon I"
"Botanic Garden",2018,5,18,1.2,1,1,1,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-18,"Inter-monsoon I"
"Botanic Garden",2018,5,19,18.4,9.2,14.8,18.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-19,"Inter-monsoon I"
"Botanic Garden",2018,5,20,35.6,31.2,33,33.8,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-20,"Inter-monsoon I"
"Botanic Garden",2018,5,21,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-21,"Inter-monsoon I"
"Botanic Garden",2018,5,22,1.6,1.6,1.6,1.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-22,"Inter-monsoon I"
"Botanic Garden",2018,5,23,9,4,4.6,6.8,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-23,"Inter-monsoon I"
"Botanic Garden",2018,5,24,0.4,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-24,"Inter-monsoon I"
"Botanic Garden",2018,5,25,5.4,5.2,5.4,5.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-25,"Inter-monsoon I"
"Botanic Garden",2018,5,26,66.2,35,59,65,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-26,"Inter-monsoon I"
"Botanic Garden",2018,5,27,2.2,1.4,2,2.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-27,"Inter-monsoon I"
"Botanic Garden",2018,5,28,7.2,5.8,6.4,6.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-28,"Inter-monsoon I"
"Botanic Garden",2018,5,29,4.8,4.2,4.4,4.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-29,"Inter-monsoon I"
"Botanic Garden",2018,5,30,15.6,9.6,9.8,10.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-30,"Inter-monsoon I"
"Botanic Garden",2018,5,31,0.8,0.4,0.4,0.8,NA,NA,NA,NA,NA,1.3087,103.818,2018-05-31,"Inter-monsoon I"
"Botanic Garden",2018,6,1,31,12.2,15.8,25.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-01,"Southwest Monsoon"
"Botanic Garden",2018,6,2,21.8,9.6,11.6,16.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-02,"Southwest Monsoon"
"Botanic Garden",2018,6,3,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-03,"Southwest Monsoon"
"Botanic Garden",2018,6,4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-04,"Southwest Monsoon"
"Botanic Garden",2018,6,5,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-05,"Southwest Monsoon"
"Botanic Garden",2018,6,6,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-06,"Southwest Monsoon"
"Botanic Garden",2018,6,7,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-07,"Southwest Monsoon"
"Botanic Garden",2018,6,8,36.4,30.4,36.2,36.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-08,"Southwest Monsoon"
"Botanic Garden",2018,6,9,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-09,"Southwest Monsoon"
"Botanic Garden",2018,6,10,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-10,"Southwest Monsoon"
"Botanic Garden",2018,6,11,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-11,"Southwest Monsoon"
"Botanic Garden",2018,6,12,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-12,"Southwest Monsoon"
"Botanic Garden",2018,6,13,17.6,12.8,17.4,17.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-13,"Southwest Monsoon"
"Botanic Garden",2018,6,14,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-14,"Southwest Monsoon"
"Botanic Garden",2018,6,15,11.2,9.2,9.2,9.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-15,"Southwest Monsoon"
"Botanic Garden",2018,6,16,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-16,"Southwest Monsoon"
"Botanic Garden",2018,6,17,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-17,"Southwest Monsoon"
"Botanic Garden",2018,6,18,17,16.4,17,17,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-18,"Southwest Monsoon"
"Botanic Garden",2018,6,19,2.4,2,2.4,2.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-19,"Southwest Monsoon"
"Botanic Garden",2018,6,20,14.6,9.8,12.2,12.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-20,"Southwest Monsoon"
"Botanic Garden",2018,6,21,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-21,"Southwest Monsoon"
"Botanic Garden",2018,6,22,1,1,1,1,NA,NA,NA,NA,NA,1.3087,103.818,2018-06-22,"Southwest Monsoon"
