Station,Year,Month,Day,Daily.Rainfall.Total..mm.,Latitude,Longitude,Date,Season
Botanic Garden,2018,5,16,0.4,1.3087,103.818,2018/5/16,Inter-monsoon I
Botanic Garden,2018,5,17,0,1.3087,103.818,2018/5/17,Inter-monsoon I
Botanic Garden,2018,5,18,1.2,1.3087,103.818,2018/5/18,Inter-monsoon I
Botanic Garden,2018,5,19,18.4,1.3087,103.818,2018/5/19,Inter-monsoon I
Botanic Garden,2018,5,20,35.6,1.3087,103.818,2018/5/20,Inter-monsoon I
Botanic Garden,2018,5,21,0,1.3087,103.818,2018/5/21,Inter-monsoon I
Botanic Garden,2018,5,22,1.6,1.3087,103.818,2018/5/22,Inter-monsoon I
Botanic Garden,2018,5,23,9,1.3087,103.818,2018/5/23,Inter-monsoon I
Botanic Garden,2018,5,24,0.4,1.3087,103.818,2018/5/24,Inter-monsoon I
Botanic Garden,2018,5,25,5.4,1.3087,103.818,2018/5/25,Inter-monsoon I
Botanic Garden,2018,5,26,66.2,1.3087,103.818,2018/5/26,Inter-monsoon I
Botanic Garden,2018,5,27,2.2,1.3087,103.818,2018/5/27,Inter-monsoon I
Botanic Garden,2018,5,28,7.2,1.3087,103.818,2018/5/28,Inter-monsoon I
Botanic Garden,2018,5,29,4.8,1.3087,103.818,2018/5/29,Inter-monsoon I
Botanic Garden,2018,5,30,15.6,1.3087,103.818,2018/5/30,Inter-monsoon I
Botanic Garden,2018,5,31,0.8,1.3087,103.818,2018/5/31,Inter-monsoon I
Botanic Garden,2018,6,1,31,1.3087,103.818,2018/6/1,Southwest Monsoon
Botanic Garden,2018,6,2,21.8,1.3087,103.818,2018/6/2,Southwest Monsoon
Botanic Garden,2018,6,3,0,1.3087,103.818,2018/6/3,Southwest Monsoon
Botanic Garden,2018,6,4,0.4,1.3087,103.818,2018/6/4,Southwest Monsoon
Botanic Garden,2018,6,5,0,1.3087,103.818,2018/6/5,Southwest Monsoon
Botanic Garden,2018,6,6,0,1.3087,103.818,2018/6/6,Southwest Monsoon
Botanic Garden,2018,6,7,0,1.3087,103.818,2018/6/7,Southwest Monsoon
Botanic Garden,2018,6,8,36.4,1.3087,103.818,2018/6/8,Southwest Monsoon
Botanic Garden,2018,6,9,0,1.3087,103.818,2018/6/9,Southwest Monsoon
Botanic Garden,2018,6,10,0,1.3087,103.818,2018/6/10,Southwest Monsoon
Botanic Garden,2018,6,11,0,1.3087,103.818,2018/6/11,Southwest Monsoon
Botanic Garden,2018,6,12,0,1.3087,103.818,2018/6/12,Southwest Monsoon
Botanic Garden,2018,6,13,17.6,1.3087,103.818,2018/6/13,Southwest Monsoon
Botanic Garden,2018,6,14,0,1.3087,103.818,2018/6/14,Southwest Monsoon
Botanic Garden,2018,6,15,11.2,1.3087,103.818,2018/6/15,Southwest Monsoon
Botanic Garden,2018,6,16,0.2,1.3087,103.818,2018/6/16,Southwest Monsoon
Botanic Garden,2018,6,17,0,1.3087,103.818,2018/6/17,Southwest Monsoon
Botanic Garden,2018,6,18,17,1.3087,103.818,2018/6/18,Southwest Monsoon
Botanic Garden,2018,6,19,2.4,1.3087,103.818,2018/6/19,Southwest Monsoon
Botanic Garden,2018,6,20,14.6,1.3087,103.818,2018/6/20,Southwest Monsoon
Botanic Garden,2018,6,21,0,1.3087,103.818,2018/6/21,Southwest Monsoon
Botanic Garden,2018,6,22,1,1.3087,103.818,2018/6/22,Southwest Monsoon
Botanic Garden,2018,6,23,6,1.3087,103.818,2018/6/23,Southwest Monsoon
Botanic Garden,2018,6,24,15.6,1.3087,103.818,2018/6/24,Southwest Monsoon
Botanic Garden,2018,6,25,3,1.3087,103.818,2018/6/25,Southwest Monsoon
Botanic Garden,2018,6,26,72.4,1.3087,103.818,2018/6/26,Southwest Monsoon
Botanic Garden,2018,6,27,4.8,1.3087,103.818,2018/6/27,Southwest Monsoon
